id,brand
0,ASUS TUF GAMING X3
1,ASUS STRIX
2,ASUS PHOENIX
4,NVIDIA QUADRO
5,ASUS TUF
6,ASUS TUF 3
7,INTEL
8,MSI
9,ASUS ROG
10,GIGABYTE AORUS
11,GIGABYTE
12,ASUS ROG MATRIX
13,ASUS ROG STRIX ADVANCED
14,SAPPHIRE NITRO+
15,ASUS
16,ASUS CERBERUS
17,PALIT
18,ASUS TUF GAMING
19,SAPPHIRE
20,EVGA
21,ASUS ROG POSEIDON PLATINUM
22,ROG STRIX
23,AORUS XTREME
24,ASUS STRIX GAMING
25,ASUS EXPEDITON
26,AMD
27,ASUS AREZ
28,AORUS
29,ASUS ROG STRIX
