model
Ryzen Threadripper 3990X
Ryzen 7 3800XT
Athlon X4
Pentium 
Ryzen 9 5950X
Ryzen 9 5900X
Ryzen 7 5800X
Ryzen 5 5600X
Ryzen 7 5700G
Ryzen 5 5600G
Ryzen 9 3900XT
Ryzen 9 3950X
Ryzen 5 3600XT
Ryzen 9 3900X 
Ryzen 7 3800X 
Ryzen 3 3300X
Ryzen 5 3400G
Ryzen 5 1600
Ryzen 3 3100
Ryzen 7 3700X
Ryzen 5 3600X 
Ryzen 5 3600 
Ryzen Threadripper 2990WX
Ryzen Threadripper 3970X
Ryzen Threadripper 3960X
Ryzen Threadripper 2970WX
Ryzen Threadripper 2950X
Ryzen Threadripper 2920X
Ryzen Threadripper 1900X
Ryzen Threadripper 1950X
Ryzen Threadripper 1920X
Athlon Gold 3150GE
Athlon Gold 3150G  
Athlon Silver 3050GE
Ryzen Threadripper PRO 3995WX
Ryzen Threadripper PRO 3975WX
Ryzen Threadripper PRO 3955WX
Athlon 3000G
Athlon 200GE
Athlon 220GE
Athlon 240GE
A10 9700
A10 9700E
A12 9800
A12 9800E
A8 9600
A6 9550
A6 9500
A6 9500E
A10 7890K
A10 7870K
A10 7860K
A10 7850K
A10 7800
A10 7700K
A10 6800K
A10 6790K
A10 6700
A10 6700T
A8 7670K
A8 7650K
A8 7600
A8 6600K
A8 6500
A8 6500T
A6 7470K
A6 7400K
A6 6420K
A6 6310
A6 6400K
A6 5200
A4 7300
A4 6320
A4 6300
A4 5100
A4 5000
Ryzen 3 3200
Ryzen 3 3200G
Ryzen 7 2700X
Ryzen 7 2700
Ryzen 5 2600X
Ryzen 5 2600
Ryzen 5 2500X
Ryzen 5 2500
Ryzen 5 2400G
Ryzen 5 2400
Ryzen 3 2300X
Ryzen 3 2300
Ryzen 3 2200G
Ryzen 3 2200
Ryzen 7 1800X
Ryzen 7 1800
Ryzen 7 1700X
Ryzen 7 1700
Ryzen 5 1600X
Ryzen 5 1600 
Ryzen 5 1500x
Ryzen 5 1500
Ryzen 5 1400x
Ryzen 5 1400
Ryzen 3 1300X
Ryzen 3 1300
Ryzen 3 1200x
Ryzen 3 1200
Xeon E
Xeon W
Xeon D
Pentium Gold
Pentium Silver
Core i9 7980XE
Core i9 7960X
Core i9 7940X
Core i9 7900X
Core i7 7820X
Core i7 8700K
Core i7 7800X
Core i7 7700K
Core i7 7740X
Core i7 7700
Core i7 8700 
Core i5 8600K
Core i5 6600
Core i5 7500
Core i9 9980XE
Core i9 9960X
Core i9 9940X
Core i9 9820X
Core i9 9900
Core i9 10920X
Core i9 10980XE
Core i9 10900X
Core i9 10900
Core i9 10940X
Core i9 10900K 
Core i9 10850
Core i9 10900X
Core i9 10900F
Core i9 11900F
Core i9 11900
Core i9 11900K
Core i9 11900KF
Core i7 8086K
Core i7 9700K
Core i7 9700
Core i7 10700K
Core i7 10700
Core i7 10700F 
Core i7 11700KF
Core i7 11700 
Core i7 11700F 
Core i7 10700KA
Core i7 11700K 
Core i5 8400
Core i5 8500
Core i5 8600
Core i5 9600K
Core i5 9400F
Core i5 9400
Core i5 9600KF
Core i5 10600
Core i5 10400
Core i5 10600KA
Core i5 10600KA
Core i5 11600K
Core i5 11600
Core i5 11500
Core i5 11400
Core i5 11400F
Core i3 8350K
Core i3 8100
Core i3 8300
Core i3 9100F
Core i3 10100
Core i3 10100F
Core i3 9100
G4400
G3930
CELERON G4900
